;01/01/2025;05/02/2025;03/03/2025;01/04/2025;06/05/2025;01/06/2025;01/07/2025;05/08/2025;05/09/2025;05/10/2025;05/11/2025;05/12/2025;Balanço do ano;Média;;;;;;;;;;
Receita;R$ 2.750,00;R$ 3.818,00;R$ 3.812,00;R$ 4.835,00;R$ 3.915,40;R$ 5.418,00;R$ 4.118,00;R$ 5.249,00;R$ 4.599,20;R$ 5.284,00;R$ 6.596,44;R$ 7.384,00;R$ 57.779,04;R$ 4.814,92;;;;;;;;;;
Despesas;R$ 2.654,20;R$ 2.258,96;R$ 1.764,99;R$ 2.426,58;R$ 1.155,93;R$ 2.698,32;R$ 2.229,22;R$ 1.554,69;R$ 1.622,05;R$ 2.325,73;R$ 6.044,18;R$ 2.727,48;R$ 29.462,33;R$ 2.455,19;;;;;;;;;;
Resultado;R$ 95,80;R$ 1.559,04;R$ 2.047,01;R$ 2.408,42;R$ 2.759,47;R$ 2.719,68;R$ 1.888,78;R$ 3.694,31;R$ 2.977,15;R$ 2.958,27;R$ 552,26;R$ 4.656,52;R$ 28.316,71;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Despesas;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Comida;R$ 239,00;R$ 513,16;R$ 777,03;R$ 405,01;R$ 196,67;R$ 165,88;R$ 68,00;R$ 130,00;R$ 179,78;R$ 6,99;R$ 129,89;R$ 337,17;;;;;;;;;;;;
Uber/99;R$ 34,48;R$ 14,94;R$ 0,00;R$ 0,00;R$ 27,96;R$ 141,27;R$ 112,61;R$ 54,99;R$ 43,88;R$ 244,86;R$ 140,26;R$ 183,78;;;;;;;;;;;;
Táxi;R$ 0,00;R$ 20,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;
Ônibus;R$ 0,00;R$ 64,92;R$ 55,25;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 63,45;R$ 0,00;R$ 276,65;;;;;;;;;;;;
Supermercado;R$ 0,00;R$ 192,87;R$ 42,19;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 33,93;R$ 0,00;;;;;;;;;;;;
Academia;R$ 487,66;R$ 159,90;R$ 315,92;R$ 100,00;R$ 265,86;R$ 0,00;R$ 589,71;R$ 0,00;R$ 0,00;R$ 301,35;R$ 268,73;R$ 0,00;;;;;;;;;;;;
Vestuário/Beleza;R$ 199,58;R$ 44,58;R$ 74,58;R$ 83,58;R$ 44,58;R$ 44,58;R$ 45,00;R$ 0,00;R$ 75,00;R$ 0,00;R$ 124,98;R$ 0,00;;;;;;;;;;;;
Farmácia;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 256,75;R$ 251,35;R$ 0,00;R$ 33,99;R$ 0,00;R$ 0,00;R$ 87,06;;;;;;;;;;;;
Eletrônicos;R$ 350,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;
Casa/Aloja;R$ 628,44;R$ 0,00;R$ 0,55;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;
Comércio;R$ 81,50;R$ 188,76;R$ 201,27;R$ 242,91;R$ 99,88;R$ 71,52;R$ 336,05;R$ 60,55;R$ 64,72;R$ 0,00;R$ 85,30;R$ 164,02;;;;;;;;;;;;
Governo;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 180,00;R$ 207,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 889,77;R$ 0,00;;;Base:;50,99 ;;;;;;;;
Educação;R$ 30,04;R$ 53,54;R$ 30,04;R$ 225,59;R$ 354,24;R$ 655,04;R$ 30,04;R$ 1.262,16;R$ 30,04;R$ 188,79;R$ 41,04;R$ 11,86;;;Base sem entreterimento:;;43,80;;;;;;;
Viagem;R$ 0,00;R$ 0,00;R$ 26,85;R$ 0,00;R$ 0,00;R$ 0,00;R$ 140,00;R$ 0,00;R$ 0,00;R$ 544,27;R$ 1.816,16;R$ 763,08;;;;;;;;;;;;
Médicos/Saúde;R$ 600,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 220,00;R$ 223,66;R$ 0,00;R$ 672,39;R$ 0,00;R$ 1.756,55;R$ 440,00;;;;;;;;;;;;
Entreterimento;R$ 0,00;R$ 572,40;R$ 181,61;R$ 327,89;R$ 66,65;R$ 835,69;R$ 0,00;R$ 46,99;R$ 522,25;R$ 706,62;R$ 602,73;R$ 293,07;;;;;;;;;;;;
Assinaturas;R$ 0,00;R$ 146,99;R$ 59,70;R$ 173,60;R$ 95,10;R$ 127,59;R$ 218,88;R$ 0,00;R$ 0,00;R$ 260,50;R$ 115,79;R$ 161,89;;;;;;;;;;;;
Bancos;R$ 0,00;R$ 0,00;R$ 0,00;R$ 173,60;R$ 0,00;R$ 0,00;R$ 6,92;R$ 0,00;R$ 0,00;R$ 8,90;R$ 0,00;R$ 8,90;;;;;;;;;;;;
-;R$ 0,00;R$ 0,00;R$ 0,00;R$ 173,60;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;
-;R$ 0,00;R$ 0,00;R$ 0,00;R$ 173,60;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;
-;R$ 0,00;R$ 0,00;R$ 0,00;R$ 173,60;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;
Outros;R$ 3,50;R$ 0,00;R$ 0,00;R$ 173,60;R$ 4,99;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 39,05;R$ 0,00;;;;;;;;;;;;
Parcelas;R$ 74,62;R$ 74,62;R$ 74,62;R$ 173,60;R$ 74,62;R$ 74,62;R$ 30,04;R$ 30,04;R$ 30,04;R$ 30,04;R$ 30,04;R$ 11,86;;;;;;;;;;;;
Cartão;R$ 739,16;R$ 742,86;R$ 290,25;R$ 173,60;R$ 345,78;R$ 162,76;R$ 1.247,24;R$ 0,00;R$ 0,00;R$ 629,17;R$ 1.354,86;R$ 2.566,49;;;;;;;;;;;;
Investimentos;R$ 800,00;R$ 2.050,00;R$ 2.512,00;R$ 173,60;R$ 2.886,46;R$ 1.600,00;R$ 3.918,00;R$ 4.518,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 4.800,00;;;;;;;;;;;;
Movimento;R$ 3.454,20;R$ 4.022,06;R$ 4.276,99;R$ 173,60;R$ 4.042,39;R$ 4.298,32;R$ 6.147,22;R$ 6.072,69;R$ 1.622,05;R$ 2.325,73;R$ 6.044,18;R$ 7.527,48;;;;;;;;;;;;
];;;;;;;;;;;;;;;;;;;;;;;;
Receita;;;;;;;;;;;;;;;;;;;;;;;;
Paulo;R$ 1.450,00;R$ 1.518,00;R$ 1.512,00;R$ 1.509,00;R$ 1.518,00;R$ 1.718,00;R$ 1.718,00;R$ 1.929,00;R$ 1.518,00;R$ 1.859,00;R$ 1.628,54;R$ 1.744,00;;;;;;;;;;;;
Larissa;R$ 1.300,00;R$ 2.300,00;R$ 2.300,00;R$ 2.320,00;R$ 2.400,00;R$ 2.700,00;R$ 2.400,00;R$ 2.500,00;R$ 3.081,20;R$ 2.400,00;R$ 4.967,90;R$ 4.440,00;;;;;;;;;;;;
Maria;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.000,00;R$ 0,00;R$ 1.000,00;R$ 0,00;R$ 500,00;R$ 0,00;R$ 1.000,00;R$ 0,00;R$ 1.000,00;;;;;;;;;;;;
Poker;R$ 0,00;R$ 0,00;R$ 0,00;R$ 6,00;-R$ 2,60;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;
;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;
Outros;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 320,00;R$ 0,00;R$ 25,00;R$ 0,00;R$ 200,00;;;;;;;;;;;;
Total;R$ 2.750,00;R$ 3.818,00;R$ 3.812,00;R$ 4.835,00;R$ 3.918,00;R$ 5.418,00;R$ 4.118,00;R$ 4.929,00;R$ 4.599,20;R$ 5.259,00;R$ 6.596,44;R$ 7.184,00;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Parei em:;;;;;;;;;;05/jan;;;;;;;;;;;;;;
Continuar em:;;;;;;;;;;05/01 com o pegamento da mesada;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Notas:;"OLHAR AS DESPESAS DO CARTÃO APENAS NO FIM DO MÊS; EM FEVEREIRO OLHAR TUDO A PARTIR DE 05/02 ATÉ O DIA DA FATURA";;;;;;;;;;;;;;;;;;;;;;;
Cartão:;EM MARÇO OLHAR TUDO DE 03/03 ATÉ O DIA DA FATURA;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Parcelas;01/01/2025;01/02/2025;01/03/2025;01/04/2025;01/05/2025;01/06/2025;01/07/2025;01/08/2025;01/09/2025;01/10/2025;01/11/2025;01/12/2025;01/01/2026;01/02/2026;01/03/2026;01/04/2026;01/05/2026;01/06/2026;01/07/2026;01/08/2026;01/09/2026;01/10/2026;01/11/2026;01/12/2026
1)tenis rafarillo;44,58;44,58;44,58;44,58;44,58;44,58;;;;;;;;;;;;;;;;;;
2)curso vocal;18,18;18,18;18,18;18,18;18,18;18,18;18,18;18,18;18,18;18,18;18,18;;;;;;;;;;;;;
3)o atlas;11,86;11,86;11,86;11,86;11,86;11,86;11,86;11,86;11,86;11,86;11,86;11,86;;;;;;;;;;;;
4);;;;;;;;;;;;;;;;;;;;;;;;
5);;;;;;;;;;;;;;;;;;;;;;;;
Soma;74,62;74,62;74,62;74,62;74,62;74,62;30,04;30,04;30,04;30,04;30,04;11,86;;;;;;;;;;;;
